"filename", "language", "Markdown", "Swift", "C++", "XML", "JSON", "Dart", "HTML", "YAML", "Java Properties", "Groovy", "comment", "blank", "total"
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\.github\workflows\dart.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 17, 10, 42
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\SECURITY.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\arduino\engine_tester\engines\engines.ino", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\arduino\robot_maze_solver\robot_maze_solver.ino", "C++", 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 15, 32, 178
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\arduino\simple_bluetooth_data_receiver\simple_bluetooth_data_receiver.ino", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 22, 4, 29
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5, 12, 70
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 10, 4, 50
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\bluetooth\bluetooth.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\bluetooth\bluetooth_controller.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 9, 48
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\bluetooth\found_devices.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 7, 114
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\camera.dart", "Dart", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 2, 13, 143
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\canvas\custom_canvas.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 5, 7, 45
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\custom_image\custom_image_class.dart", "Dart", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 9, 43
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\helpers\camera_resolution_px.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\helpers\exceptions\picture_size.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\helpers\hero_tag\hero_tag_generator.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\helpers\lib_class.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 5, 26
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\image_proccessing\image_cropping.dart", "Dart", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 1, 20, 296
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\image_proccessing\image_proccessing.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\image_transformation\colour_picking\route_and_wall_global_constants.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\image_transformation\colour_picking\route_colour_picker.dart", "Dart", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 15, 143
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\image_transformation\colour_picking\wall_colour_picker.dart", "Dart", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 15, 147
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\image_transformation\reachability_input_picking\destination_picker.dart", "Dart", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 4, 19, 161
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\image_transformation\reachability_input_picking\start_picker.dart", "Dart", 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 6, 19, 185
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\output\normalized_path_widget.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 6, 55
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\search_maze_algorithms\normalizing_path_to_directions.dart", "Dart", 0, 0, 0, 0, 0, 202, 0, 0, 0, 0, 29, 32, 263
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\search_maze_algorithms\search_for_shortest_path_in_array.dart", "Dart", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 6, 21, 99
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\coordinate.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\coordinates.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\enums\directions.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\enums\maze_representatives.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\enums\robot_instructions.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 2, 10
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\enums\should_continue.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\exceptions\wrong_followup_direction.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\mapped_directions_to_coordinates.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\lib\path_searching_algorithm_in_image\support_classes\node.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\macos\Runner\AppDelegate.swift", "Swift", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 60, 14, 113
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\test\path_algorithm_test.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\kryst\Documents\VEJSKA\TRETAK\Maze-Solver-via-Phone-Scan\phone_client\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 7, 60, 718, 472, 248, 1726, 38, 57, 8, 96, 381, 574, 4385